names,index,setting,Core,Parallelism,cri,makespan
our ,179,NoCore,5,30,20,37102
our ,160,NoCore,6,30,20,33535
other ,179,NoCore ,5,30,20,38724
other ,160,NoCore ,6,30,20,36865
our ,180,NoCore,5,30,20,37102
our ,161,NoCore,6,30,20,33535
other ,180,NoCore ,5,30,20,38843
our ,181,NoCore,5,30,20,37102
other ,161,NoCore ,6,30,20,36458
our ,162,NoCore,6,30,20,33535
other ,181,NoCore ,5,30,20,38763
our ,182,NoCore,5,30,20,37102
other ,162,NoCore ,6,30,20,36004
our ,163,NoCore,6,30,20,33535
other ,182,NoCore ,5,30,20,41494
our ,183,NoCore,5,30,20,37102
other ,163,NoCore ,6,30,20,38026
other ,183,NoCore ,5,30,20,39300
our ,164,NoCore,6,30,20,33535
our ,184,NoCore,5,30,20,37102
other ,164,NoCore ,6,30,20,35038
our ,165,NoCore,6,30,20,33535
other ,184,NoCore ,5,30,20,38551
other ,165,NoCore ,6,30,20,34724
our ,185,NoCore,5,30,20,37102
our ,166,NoCore,6,30,20,33535
other ,185,NoCore ,5,30,20,42943
other ,166,NoCore ,6,30,20,33560
our ,186,NoCore,5,30,20,37102
our ,167,NoCore,6,30,20,33535
other ,186,NoCore ,5,30,20,39946
other ,167,NoCore ,6,30,20,34569
